"","country","mean_ll","mean_fer","mean_sucide","mean_d_pollut","mean_g"
"99","Montenegro",5.26775321093473,1.76268181818182,20.3636363636364,3.20967636135868,NA
"100","Morocco",5.04234701395035,2.529475,8.025,5.01717620782848,NA
"101","Mozambique",4.64793627602713,5.29001428571429,13,3.66363913832821,NA
"102","Myanmar",4.40182835715158,2.24467142857143,3.15714285714286,5.03538116837757,NA
"103","Namibia",4.68374311923981,3.5401,11.725,3.3182739175709,NA
"104","Nepal",4.63099884986877,2.44687692307692,8.51538461538462,4.85864099842454,NA
"105","Netherlands",7.46653131643931,1.698575,10.3333333333333,4.30179530665132,0.28225
"106","New Zealand",7.32347536087036,2.00990833333333,11.75,2.85387373271542,0.33475
"107","Nicaragua",5.5893073448768,2.55562307692308,4.73846153846154,3.3291823515141,NA
"108","Niger",4.19655145131625,7.35431538461538,5.34615384615385,3.89016413991366,NA
"109","Nigeria",5.02879489551891,5.81799090909091,4.15454545454545,5.44720249047336,NA
"110","North Cyprus",5.68230350812276,NA,NA,NA,NA
"111","Norway",7.55633969740434,1.79891818181818,11.5454545454545,3.20529133706623,0.326867071330547
"112","Oman",6.85298204421997,2.9404,6.1,3.65360115738237,NA
"113","Pakistan",5.30391814158513,4.14798461538462,8.93076923076923,5.73174151316781,NA
"114","Palestinian Territories",4.62873433186458,NA,NA,NA,NA
"115","Panama",6.72969909814688,2.58476923076923,4.01538461538462,3.22716875904636,NA
"116","Paraguay",5.5513623158137,2.72355,4.71666666666667,3.3794805881626,NA
"117","Peru",5.56304220052866,2.47613076923077,2.93076923076923,4.43943580030538,NA
"118","Philippines",5.1447045986469,3.14449230769231,2.25384615384615,5.10510715886127,NA
"119","Poland",5.86557466333563,1.34844545454545,16.4545454545455,5.14670940506896,NA
"120","Portugal",5.35219309546731,1.33232727272727,12.2727272727273,3.96024876113545,0.348
"121","Qatar",6.56898183822632,2.0273,7.62,2.99118513698274,NA
"122","Romania",5.47536325454712,1.5751,11.3333333333333,4.8468174438426,NA
"123","Russia",5.52882686028114,1.62748461538462,NA,5.7709807706854,NA
"124","Rwanda",3.68959305503152,4.35628181818182,6.3,3.62585576182238,NA
"125","Saudi Arabia",6.53478046563955,2.81959230769231,5.66153846153846,4.82282748046371,NA
"126","Senegal",4.36131761624263,4.92948461538462,6.52307692307692,3.97845346574708,NA
"127","Serbia",5.08229472420432,1.41983636363636,15.1454545454545,4.69204916301216,NA
"128","Sierra Leone",4.17247648672624,4.9775,6.38181818181818,3.57327070822864,NA
"129","Singapore",6.514759461085,1.16631666666667,9.75,3.46577655388668,0.42
"130","Slovakia",6.00041952133179,1.41633,12.3,4.11660108405805,NA
"131","Slovenia",5.96089454130693,1.55341818181818,20.9090909090909,3.39121795500213,NA
"132","Somalia",5.18328619003296,6.97356666666667,8,3.27979993826616,NA
"133","Somaliland region",4.90916228294373,NA,NA,NA,NA
"134","South Africa",4.85491024530851,2.44812307692308,23.9230769230769,5.08181059145307,0.703333333333333
"135","South Korea",5.87905443631686,1.16763846153846,NA,4.89094834369056,NA
"136","South Sudan",3.40187460184097,4.89705,3.625,3.64823737791013,NA
"137","Spain",6.51438467319195,1.34054615384615,7.79230769230769,4.71795397190691,0.336
"138","Sri Lanka",4.3133132259051,2.18786666666667,16.8333333333333,4.40024787184516,NA
"139","Sudan",4.37874116897583,4.9668,4.02,4.6566683411029,NA
"140","Suriname",6.26928663253784,2.5653,25,2.68298800751093,NA
"141","Swaziland",4.53932809829712,NA,NA,NA,NA
"142","Sweden",7.37157487869263,1.86669230769231,14.5384615384615,3.5043401505941,0.320375
"143","Switzerland",7.53495287895203,1.513675,14.875,3.76573059762406,0.295
"144","Syria",4.01697959218706,3.32107142857143,NA,4.6012809841833,NA
"145","Taiwan Province of China",6.26303009553389,NA,NA,NA,NA
"146","Tajikistan",4.81196614106496,3.41090833333333,3.98333333333333,4.12489167538393,NA
"147","Tanzania",3.69487859652593,5.20833846153846,NA,4.28217369149952,NA
"148","Thailand",6.10802580760075,1.52333846153846,8.18461538461538,5.12689179845684,NA
"149","Togo",3.47700554132462,4.725275,9.7125,3.59401657301646,NA
"150","Trinidad and Tobago",6.28138904571533,1.69654,10.68,3.27493591437419,NA
"151","Tunisia",4.80237441062927,2.19348,3.28,4.4237750485664,NA
"152","Turkey",5.29586593921368,2.16198461538462,NA,5.31370793831798,NA
"153","Turkmenistan",5.61452213923136,2.88324444444444,6.88888888888889,4.05958518002785,NA
"154","Uganda",4.2285250883836,5.73997692307692,5.98461538461538,4.13362902383315,NA
"155","Ukraine",4.73381027808556,1.43806153846154,24.3076923076923,5.42771873775208,NA
"156","United Arab Emirates",6.83977499875155,1.63173636363636,7.26363636363636,3.82573675939842,NA
"157","United Kingdom",6.90850349572989,1.83287692307692,NA,4.88867960165139,NA
"158","United States",7.10617476243239,1.91030769230769,NA,5.57343364451473,NA
"159","Uruguay",6.23222244702853,1.97084615384615,17.1538461538462,3.31328119969077,NA
"160","Uzbekistan",5.76156997680664,2.47881666666667,8.7,5.04780629314141,NA
"161","Venezuela",6.20318346757155,2.42795384615385,NA,4.58199819478287,NA
"162","Vietnam",5.29344327633197,1.92493846153846,NA,5.21587750298963,NA
"163","Yemen",3.8862341967496,4.5576,5.70909090909091,4.54266535789606,NA
"164","Zambia",4.63172223170598,5.106375,9.31666666666667,3.87438695293164,NA
"165","Zimbabwe",4.02977039263799,3.8629,17.8461538461538,3.92734033389149,NA
